#,Name,Price,Description,Image
22,"Lexus , 2008",14500$ ,"2008 160000 км Седан,
                                        черный,
                                        3,5 л.,
                                        левый руль,
                                        гибрид,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/x04qzE0r-hiQX_Ej8bJJUA/1080x-/20230130/70c8e12542cb2e89c6b0a148ff923130.jpg
23,"Subaru Legacy 3 поколение Седан , 2003",6300$ ,"2003 250000 км Седан,
                                                    2 л.,
                                        правый руль,
                                        бензин,
                                        механика,
                                        постоянный полный,",https://i.cars.kg/preview/r/1rYuWKVMmiNlKD4JnnqQng/1080x-/20230130/05fc6872e4e6a4a4bdbba961260542fb.jpg
24,"Kia , 2016",14200$ ,"2016 225000 км Седан,
                                        серебряный,
                                        2 л.,
                                        левый руль,
                                        газ,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/Zm3sMX5zi6G2hvRi727MxQ/1080x-/20230130/6b2292e195411bee15665f9bcc8f92f9.jpg
25,"Lexus GX 1 поколение Внедорожник , 2004",20500$ ,"2004 1 км Внедорожник / Пикап,
                                        серебряный,
                                        4.7 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/1RVUPlwlo35P5F0h7Mm-7w/1080x-/20230130/18e0dc5449accc50b37edcd07e381e85.jpg
26,"Daewoo Nexia 1 поколение [рестайлинг] Седан , 2012",3459$ ,"2012 176000 км Седан,
                                        серебряный,
                                        1.5 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,",https://i.cars.kg/preview/r/J6C4u0C8NhLMMLVsCAhXUw/1080x-/20230130/4094c6898d4042565efe4cfe0cddffd4.jpg
27,"Mercedes-Benz E-Класс W213 Седан , 2017",35000$ ,"2017 96789 км Седан,
                                        белый,
                                        2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/FcE9zlyOlyDNWTdq0JlhoQ/1080x-/20230130/dd327ec9b6572c86626e73fd63a2044c.jpg
28,"Mazda 6 1 поколение Хетчбэк , 2004",5500$ ,"2004 280000 км Хэтчбек,
                                        серебряный,
                                        2 л.,
                                                    бензин,
                                        автомат,
                                        передний,",No picture
29,"Lexus RX 2 поколение [рестайлинг] Кроссовер , 2008",19800$ ,"2008 129235 км Кроссовер,
                                        серебряный,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/jMvnEjmw4GjhKNlT61r9TA/1080x-/20230130/8b73f1000a13dc3be30a55946ae2b4ef.jpg
30,"Toyota Venza 1 поколение Кроссовер , 2009",17500$ ,"2009 160000 км Кроссовер,
                                        белый,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/0vWeRhtCcHaVFK4e3CKZlw/1080x-/20230130/71197eaeaf5aa8b8944118aa4a84c5e6.jpg
31,"Lexus ES 4 поколение Седан , 2005",12900$ ,"2005 263000 км Седан,
                                        черный,
                                        3.3 л.,
                                        левый руль,
                                        газ-бензин,
                                        автомат,",https://i.cars.kg/preview/r/l4_fg4JnwOQy0dD2kiCCyw/1080x-/20230130/4b3080f48323d11b25a44b0a0405630c.jpg
32,"Toyota Prius 4 поколение Хетчбэк , 2015",14200$ ,"2015 88000 км Хэтчбек,
                                        серебряный,
                                        1.8 л.,
                                        левый руль,
                                        гибрид,
                                        вариатор,
                                        передний,",https://i.cars.kg/preview/r/5g9Ci1DmDaXivLr2sY6mog/1080x-/20230130/7f259b1ba6dafbc9a000b679bd4cb845.jpg
33,"Lexus ES 6 поколение [рестайлинг] Седан , 2016",30500$ ,"2016 88000 км Седан,
                                        черный,
                                        2.5 л.,
                                        левый руль,
                                        гибрид,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/gbGkZoMbcaRVsn8GYvyNBQ/1080x-/20230130/a5cee1e4e87c3a8f14681a47ad6d8afe.jpg
34,"Mercedes-Benz E-Класс W211/S211 Седан , 2003",9286$ ,"2003 106000 км Седан,
                                        черный,
                                        3.2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/SqKvNNA7obfMiHFStyfEaQ/1080x-/20230130/5ea164e1bf4ad05e8f62eef178d841e4.jpg
35,"Toyota Fun Cargo 1 поколение Минивэн , 2000",7200$ ,"2000 247000 км Минивэн / Бус,
                                        зеленый,
                                        1.5 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/fEwFjZy59fjmoFF3UATDwg/1080x-/20230130/2f05b4aca6647bd0bd05a8e08d71b0f3.jpg
36,"Volkswagen Passat B5 Седан 4-дв. , 1999",3656$ ,"1999 1 км Седан,
                                        зеленый,
                                        1.6 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,",https://i.cars.kg/preview/r/BBMseBdsltEwkg6qMwpf7A/1080x-/20230130/a88cf6790a1852711cfb450ce2f603bf.jpg
37,"Daewoo Matiz M150 [рестайлинг] Хетчбэк , 2002",1857$ ,"2002 550000 км Хэтчбек,
                                                    0.8 л.,
                                                    бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/NQv4Ptql-UOXcNlUKquWlg/1080x-/20230130/704287a9326ba95a8e2f2c103730787e.jpg
38,"Honda Avancier 1 поколение Универсал 5-дв. , 1999",5223$ ,"1999 1 км Универсал,
                                        черный,
                                        2.3 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/0F1ONPg6gzHREDV1pWT70Q/1080x-/20230130/938a25cb86c592f7c3ed75ceaa43310b.jpg
39,"Toyota Camry XV50 [рестайлинг] Седан , 2016",17300$ ,"2016 168000 км Седан,
                                        белый,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/yDCznleHOJumIPt4KqTNBw/1080x-/20230130/2c6ed521b41457071b2a75f058f5ed0c.jpg
40,"Toyota Camry XV30 [рестайлинг] Седан , 2004",10300$ ,"2004 18100 км Седан,
                                        черный,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/ZXALj2wbZz18KOTPi3jgTw/1080x-/20230130/6e5920c2a16aedafca8d923feec32159.jpg
41,"Kia K5 1 поколение Седан , 2016",13200$ ,"2016 194000 км Седан,
                                        серебряный,
                                        2 л.,
                                        левый руль,
                                        газ,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/jscTlLqh20Umi8hE3osjgg/1080x-/20230130/fe169e9177cf28e6c20ae315c123130a.jpg
42,"Volkswagen Passat B3 Универсал , 1989",1$ ,"1989 308000 км Универсал,
                                        серебряный,
                                        1.8 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,",https://i.cars.kg/preview/r/T_ZZsXyfG3Bb24AVWEOpUQ/1080x-/20230130/bf48d3fbcd07094211341c66b090491c.jpeg
43,"Lexus ES 6 поколение [рестайлинг] Седан , 2017",29000$ ,"2017 84000 км Седан,
                                        черный,
                                        2.5 л.,
                                        левый руль,
                                        гибрид,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/1b_7TEF7ymQ1gQT7vCvI9A/1080x-/20230129/2092ddbc29d7ed37235a90e66edf0bdd.jpg
44,"Kia K5 , 2011",10500$ ,"2011 346000 км 2 л.,
                                        левый руль,
                                        газ,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/LOlIB6qJPcqAMFtPoBPiwQ/1080x-/20230129/b5cce31fafa9e216240ac09749945f55.jpg
45,"Москвич 2136 1 поколение Универсал , 1987",464$ ,"1987 510000 км Универсал,
                                        синий,
                                        1.4 л.,
                                        левый руль,
                                                    механика,",No picture
46,"Mercedes-Benz E-Класс , 1999",8700$ ,"1999  2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/GCTQonDY972YT8bIvMgeTw/1080x-/20230129/5266bd7b413c99b42ce278baaafbaa59.jpg
47,"Toyota Avensis 2 поколение Седан , 2004",9500$ ,"2004 132000 км Седан,
                                        серебряный,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/WUZ0wamaV7OjudfXNI05FQ/1080x-/20230129/d552254d3677ab037d2d4530c59d9b42.jpg
48,"Hyundai Sonata YF Седан 4-дв. , 2016",12900$ ,"2016 181000 км Седан,
                                        белый,
                                        2 л.,
                                        левый руль,
                                        газ,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/7FVG8PAkyWZX3Aqa952rtg/1080x-/20230129/48beac84a1d29821ea4429594beb12a2.jpg
49,"Kia Sorento 3 поколение Prime кроссовер , 2016",24$ ,"2016 41000 км Кроссовер,
                                        белый жемчуг,
                                        2.2 л.,
                                        левый руль,
                                        дизель,
                                        типтроник,
                                        полный подключаемый,",https://i.cars.kg/preview/r/EB3GHbfGkSjJSWMENBYB_w/1080x-/20230129/89f04e9d14ddde50259b40a0c498f508.jpeg
50,"Toyota Alphard 1 поколение [рестайлинг] Минивэн , 2004",15000$ ,"2004 300000 км Минивэн / Бус,
                                        серый,
                                        3 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/HrGItk-SFhNpNewBKnjyfA/1080x-/20230129/baefa4c6ab76005c94acfaec00d2c690.jpg
51,"Toyota Camry XV40 [рестайлинг] Hybrid седан 4-дв. , 2011",13900$ ,"2011 133000 км Седан,
                                        белый,
                                        2.4 л.,
                                        левый руль,
                                        гибрид,
                                        вариатор,
                                        передний,",https://i.cars.kg/preview/r/Uc4MEPYBsmfBYf65eqxNlQ/1080x-/20230129/f3fac8597fed28f7dcfd66a1cc9bac68.jpg
52,"Toyota Camry XV40 , 2008",10500$ ,"2008 250 км Седан,
                                        серый,
                                        2.4 л.,
                                        левый руль,
                                        газ-бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/V6y9BvoJefZX2Y9UTmYZyA/1080x-/20230129/42d6f1d23f68d0188d11da29b8a5a6d4.jpg
53,"Honda Stream 1 поколение Минивэн , 2002",6200$ ,"2002 158000 км Минивэн / Бус,
                                        белый,
                                        1.7 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/08RBZEcGfpjGstNUxovAcg/1080x-/20230129/26a8666bb348dd584e1bf17f2adfad39.jpg
54,"Kia Sorento 3 поколение Prime кроссовер , 2016",25900$ ,"2016 125000 км Кроссовер,
                                        серый,
                                        2.2 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/klYlX5CPjvC7L7-TJT7Pbw/1080x-/20230129/24c56fb4ddf3ed24e47bea7477981398.jpg
55,"Hyundai Sonata , 2016",13800$ ,"2016 155000 км Седан,
                                        серебряный,
                                        2 л.,
                                        левый руль,
                                        газ,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/KRo37QFzIXTuNN0F6okUgA/1080x-/20230129/c68f0a18af529a9c163bcf49dedb2ff8.jpg
56,"Lexus GX 1 поколение Внедорожник , 2005",25500$ ,"2005 272000 км Внедорожник / Пикап,
                                        золотой,
                                        4.7 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/kEhw07MDI47-FQyDnYJNzA/1080x-/20230129/cddea097f4097f118b8ebf41627cf000.jpg
57,"Lexus GS 2 поколение Седан , 2001",6800$ ,"2001 177000 км Седан,
                                        вишневый,
                                        3 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/8MsjyBT7nLOZ4hyfNBNM4w/1080x-/20230129/fc6fbeb23d8d4b54485897167b5062c5.jpg
58,"Kia Morning 2 поколение , 2016",9300$ ,"2016 98600 км бежевый,
                                        1 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/o7eQiqz87yltmhcMKjiqqg/1080x-/20230129/2176308476e7e2c99bb0e3f48879903d.jpg
59,"Volkswagen Golf 3 поколение Хетчбэк 5-дв. , 1994",2901$ ,"1994 200000 км Хэтчбек,
                                        фиолетовый,
                                        1.6 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,",https://i.cars.kg/preview/r/0Z_H0wi8BhHciBEmax9Zhg/1080x-/20230129/0a29f368f19bbb870876fc8ff9cb4f76.jpg
60,"Chevrolet Captiva 1 поколение [2-й рестайлинг] Кроссовер , 2022",29000$ ,"2022 30 км Кроссовер,
                                        белый,
                                        1.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/1X0GUNjDg9YAe81DqgwSNQ/1080x-/20230129/c30ddeabf9927cc7bcbd60c1f2bce524.jpg
61,"Hyundai Tucson 3 поколение Кроссовер , 2022",36500$ ,"2022 30 км Кроссовер,
                                        белый,
                                        2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/LRpk6xSuRdcb7h2mIHkK5Q/1080x-/20230129/e6918f5536dd9546c7c9c2f43db32504.jpg
62,"Kia Sportage 4 поколение Кроссовер , 2022",43000$ ,"2022 30 км Кроссовер,
                                        белый,
                                        1.6 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/410U8nkbh8jk6PbN1jFvbA/1080x-/20230129/a16158085ef1bb884f31f5c5ebcb5519.jpg
63,"Toyota RAV4 2 поколение Кроссовер 5-дв. , 2001",7900$ ,"2001  Кроссовер,
                                        серебряный,
                                        1990 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        полный подключаемый,",https://i.cars.kg/preview/r/9NdCeheIyJ-T_XGMqvSL9g/1080x-/20230129/ec17f72193c5dca8b98b697db8dec8a2.jpg
64,"Toyota Ist 1 поколение Хетчбэк , 2003",67$ ,"2003  Хэтчбек,
                                        белый,
                                        1.3 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/Y1G7kXqXF1HXoUwiSlO_Ow/1080x-/20230129/3611aa23cb24ac75f02543a17c742a5e.jpg
65,"Hyundai Santa Fe CM Кроссовер , 2008",12300$ ,"2008 110000 км Кроссовер,
                                        белый,
                                        2.2 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/kU9WgJ3AL_mXyj-8PpQwjw/1080x-/20230128/ea34398dcd82226782d13b7eb4b16523.jpg
66,"Volkswagen Golf 3 поколение Хетчбэк 5-дв. , 1993",3800$ ,"1993 182 км Хэтчбек,
                                        баклажан,
                                        1.6 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,",No picture
67,"Mercedes-Benz CL-Класс C215 , 2020",8000$ ,"2020 2000 км 3.2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/sP_meEKEZueDUiq7RrGdGA/1080x-/20230128/1fa79f71e1f0a4ba6e4f6a7c9b45f24b.jpg
68,"Honda Inspire 4 поколение Седан , 2003",9$ ,"2003 175000 км Седан,
                                        белый,
                                        3.0 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/btYyMyYPKyxKxvOLaHaJCw/1080x-/20230128/578110fe7220c77839672a358107b9bd.jpg
69,"Toyota Land Cruiser J200 [2-й рестайлинг] Внедорожник , 2021",130000$ ,"2021 1 км Внедорожник / Пикап,
                                        белый,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/iKt_OPQuvdifELejkgqDaw/1080x-/20230128/46af747e06c454b34ebaf94a18260b88.jpg
70,"Toyota Camry , 2012",18999$ ,"2012  2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/JUPNPWL2Yas45LyBMKMdzQ/1080x-/20230128/1345cc5ef39005d3cf34d7cbbe48088b.jpg
71,"Lexus LX 3 поколение [рестайлинг] Внедорожник , 2014",70000$ ,"2014  Внедорожник / Пикап,
                                        черный,
                                        5.7 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/i3hFMq8N6jVw6FBx6ugxPA/1080x-/20230128/3e2fd21c07f61586800af11af7c590da.jpg
72,"Honda Fit 1 поколение Хетчбэк , 2004",7000$ ,"2004 282000 км Хэтчбек,
                                        зеленый,
                                        1.3 л.,
                                        правый руль,
                                        бензин,
                                        вариатор,
                                        передний,",https://i.cars.kg/preview/r/nolKttFxNcDqesWgotBNUA/1080x-/20230128/c19bfa1da7b0d0f19ff1fb789a08e983.jpg
73,"Mercedes-Benz GLK-Класс X204 [рестайлинг] Кроссовер , 2015",31500$ ,"2015 124000 км Кроссовер,
                                        серебряный,
                                        2.1 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/yRMwTfi-SmiqMVAq3Zln0Q/1080x-/20230128/2a62288a38b03c2bdc062a782426d40f.jpg
74,"Kia K5 , 2015",16900$ ,"2015 139000 км Седан,
                                        белый жемчуг,
                                        1.7 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/sSI-TBmx-7ZvXEubMWi7-w/1080x-/20230128/5fa54d207384b6725272cff20e6ac685.plain
75,"Nissan Leaf , 2013",10900$ ,"2013  баклажан,
                                                    левый руль,
                                        электро,",https://i.cars.kg/preview/r/aQKSY9SDtQpOB0gxlup0og/1080x-/20230128/39efb420d3d31fab3bb2dd53ff197647.jpg
76,"Subaru Outback , 2017",25900$ ,"2017 61000 км Универсал,
                                        белый,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        вариатор,
                                        постоянный полный,",https://i.cars.kg/preview/r/2yyOr0qCXIw0fczyTfo9AA/1080x-/20230128/d32ccfe07f969d85b7e561e5414df18d.jpg
77,"Hyundai Sonata YF Седан 4-дв. , 2016",13800$ ,"2016 162000 км Седан,
                                        черный,
                                        2 л.,
                                        левый руль,
                                        газ,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/8t-ClngqP2r6QIhdhz-Rfg/1080x-/20230128/c27c57e394d5cf2f7e2c0783d61bfe87.jpeg
78,"Honda , 2001",7000$ ,"2001 226 км Хэтчбек,
                                                    1.3 л.,
                                                    бензин,
                                        вариатор,
                                        передний,",https://i.cars.kg/preview/r/TqQmdQvvgo4c4MVueWj7pA/1080x-/20230128/394ae9ec39542be1931b3b38f00a16e0.jpg
79,"Toyota RAV4 , 2019",28200$ ,"2019 48000 км Кроссовер,
                                        серый,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/Vyluo2d9-X0_ekhgK3Fx3Q/1080x-/20230127/d2c04d8959da565364898f5aec727661.jpg
80,"Mazda 6 1 поколение Седан , 2003",4500$ ,"2003 350000 км Седан,
                                        серый,
                                                    левый руль,
                                        дизель,
                                        механика,
                                        передний,",https://i.cars.kg/preview/r/lNsb8ULYXo8B7P6emiLa6g/1080x-/20230127/08ec8a3c72e0ae702805dbe710a2c6d2.jpg
81,"Mercedes-Benz Vito W639 Фургон , 2008",7000$ ,"2008 285000 км Универсал,
                                        белый,
                                        2.1 л.,
                                        левый руль,
                                        дизель,
                                        механика,
                                        задний,",https://i.cars.kg/preview/r/nhQzNlAmJZ4dy_cd3NUZsA/1080x-/20230127/8b6231915c82f25f171fd65a2abbdf07.jpg
82,"Toyota Harrier 1 поколение Кроссовер , 2001",8800$ ,"2001 250 км Кроссовер,
                                        белый жемчуг,
                                        2.4 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/fsso983rHchF1Yu0RjH9mA/1080x-/20230127/d2f9336f3e708382f8de61e252b662b8.jpg
83,"BMW 5 серия E34 Седан , 1991",6384$ ,"1991  Седан,
                                        белый,
                                        2.5 л.,
                                                    бензин,
                                        механика,
                                        задний,",https://i.cars.kg/preview/r/SFl95tzwWVJEBQU3TUe2Xw/1080x-/20230127/0992b650e1ccd83b04992a5db51d8de0.jpg
84,"Lexus RX 4 поколение , 2017",48000$ ,"2017 58106 км Внедорожник / Пикап,
                                        серый,
                                        3,5 л.,
                                        левый руль,
                                        гибрид,
                                        вариатор,
                                        постоянный полный,",https://i.cars.kg/preview/r/NXCujwrpqnFzdDo_5T7_PQ/1080x-/20230127/8614e76b30083932cf96ded256bea49f.jpg
85,"SsangYong Rexton 3 поколение W внедорожник , 2016",26500$ ,"2016 117000 км Внедорожник / Пикап,
                                        серебряный,
                                        2.2 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        полный подключаемый,",No picture
