#,Name,Price,Year,Mile,Desc,Image
85,"Toyota Camry , 2012",18999$ ,2012,,"2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/JUPNPWL2Yas45LyBMKMdzQ/1080x-/20230128/1345cc5ef39005d3cf34d7cbbe48088b.jpg
86,"Lexus LX 3 поколение [рестайлинг] Внедорожник , 2014",70000$ ,2014,,"Внедорожник / Пикап,
                                        черный,
                                        5.7 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/i3hFMq8N6jVw6FBx6ugxPA/1080x-/20230128/3e2fd21c07f61586800af11af7c590da.jpg
87,"Honda Fit 1 поколение Хетчбэк , 2004",7000$ ,2004,282000 км,"Хэтчбек,
                                        зеленый,
                                        1.3 л.,
                                        правый руль,
                                        бензин,
                                        вариатор,
                                        передний,",https://i.cars.kg/preview/r/nolKttFxNcDqesWgotBNUA/1080x-/20230128/c19bfa1da7b0d0f19ff1fb789a08e983.jpg
88,"Mercedes-Benz GLK-Класс X204 [рестайлинг] Кроссовер , 2015",31500$ ,2015,124000 км,"Кроссовер,
                                        серебряный,
                                        2.1 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/yRMwTfi-SmiqMVAq3Zln0Q/1080x-/20230128/2a62288a38b03c2bdc062a782426d40f.jpg
89,"Kia K5 , 2015",16900$ ,2015,139000 км,"Седан,
                                        белый жемчуг,
                                        1.7 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/sSI-TBmx-7ZvXEubMWi7-w/1080x-/20230128/5fa54d207384b6725272cff20e6ac685.plain
90,"Nissan Leaf , 2013",10900$ ,2013,,"баклажан,
                                                    левый руль,
                                        электро,",https://i.cars.kg/preview/r/aQKSY9SDtQpOB0gxlup0og/1080x-/20230128/39efb420d3d31fab3bb2dd53ff197647.jpg
91,"Subaru Outback , 2017",25900$ ,2017,61000 км,"Универсал,
                                        белый,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        вариатор,
                                        постоянный полный,",https://i.cars.kg/preview/r/2yyOr0qCXIw0fczyTfo9AA/1080x-/20230128/d32ccfe07f969d85b7e561e5414df18d.jpg
92,"Hyundai Sonata YF Седан 4-дв. , 2016",13800$ ,2016,162000 км,"Седан,
                                        черный,
                                        2 л.,
                                        левый руль,
                                        газ,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/8t-ClngqP2r6QIhdhz-Rfg/1080x-/20230128/c27c57e394d5cf2f7e2c0783d61bfe87.jpeg
93,"Honda , 2001",7000$ ,2001,226 км,"Хэтчбек,
                                                    1.3 л.,
                                                    бензин,
                                        вариатор,
                                        передний,",https://i.cars.kg/preview/r/TqQmdQvvgo4c4MVueWj7pA/1080x-/20230128/394ae9ec39542be1931b3b38f00a16e0.jpg
94,"Toyota RAV4 , 2019",28200$ ,2019,48000 км,"Кроссовер,
                                        серый,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/Vyluo2d9-X0_ekhgK3Fx3Q/1080x-/20230127/d2c04d8959da565364898f5aec727661.jpg
95,"Mazda 6 1 поколение Седан , 2003",4500$ ,2003,350000 км,"Седан,
                                        серый,
                                                    левый руль,
                                        дизель,
                                        механика,
                                        передний,",https://i.cars.kg/preview/r/lNsb8ULYXo8B7P6emiLa6g/1080x-/20230127/08ec8a3c72e0ae702805dbe710a2c6d2.jpg
96,"Mercedes-Benz Vito W639 Фургон , 2008",7000$ ,2008,285000 км,"Универсал,
                                        белый,
                                        2.1 л.,
                                        левый руль,
                                        дизель,
                                        механика,
                                        задний,",https://i.cars.kg/preview/r/nhQzNlAmJZ4dy_cd3NUZsA/1080x-/20230127/8b6231915c82f25f171fd65a2abbdf07.jpg
97,"Toyota Harrier 1 поколение Кроссовер , 2001",8800$ ,2001,250 км,"Кроссовер,
                                        белый жемчуг,
                                        2.4 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/fsso983rHchF1Yu0RjH9mA/1080x-/20230127/d2f9336f3e708382f8de61e252b662b8.jpg
98,"BMW 5 серия E34 Седан , 1991",6384$ ,1991,,"Седан,
                                        белый,
                                        2.5 л.,
                                                    бензин,
                                        механика,
                                        задний,",https://i.cars.kg/preview/r/SFl95tzwWVJEBQU3TUe2Xw/1080x-/20230127/0992b650e1ccd83b04992a5db51d8de0.jpg
99,"Lexus RX 4 поколение , 2017",48000$ ,2017,58106 км,"Внедорожник / Пикап,
                                        серый,
                                        3,5 л.,
                                        левый руль,
                                        гибрид,
                                        вариатор,
                                        постоянный полный,",https://i.cars.kg/preview/r/NXCujwrpqnFzdDo_5T7_PQ/1080x-/20230127/8614e76b30083932cf96ded256bea49f.jpg
100,"Lexus ES , 2017",37000$ ,2017,45000 км,"Седан,
                                        белый,
                                        2.5 л.,
                                        левый руль,
                                        гибрид,
                                                    передний,",https://i.cars.kg/preview/r/s94VGFsQ3UEknnB7bvVvgw/1080x-/20230127/239e4b92d3577c2837cc631058f15542.jpg
101,"Kia Sorento 2 поколение [рестайлинг] Кроссовер , 2017",26999$ ,2017,131000 км,"Кроссовер,
                                        черный,
                                        2.2 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/FoJEkTgNFRzTmAhpRM2wEw/1080x-/20230124/53657aee786dff68bb71356442b59b54.jpg
102,"Toyota RAV4 4 поколение [рестайлинг] Кроссовер , 2016",23000$ ,2016,45000 км,"Кроссовер,
                                        синий,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        полный подключаемый,",https://i.cars.kg/preview/r/JWj9eGJm5g6GuRqCf_ql0Q/1080x-/20230122/0dec045e4c7ff162ffded0270aa3df57.jpg
103,"Toyota Sequoia 2 поколение Внедорожник , 2010",35000$ ,2010,192000 км,"Внедорожник / Пикап,
                                        белый,
                                        5.7 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/QXj15SAGuHUkWN4Aj2gMdQ/1080x-/20230121/d1c69cab71eb48a4cb1941937ea39b2e.jpg
104,"Lexus GX 1 поколение Внедорожник , 2006",25200$ ,2006,243000 км,"Внедорожник / Пикап,
                                        белый,
                                        4.7 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/ixzZIe-rie-arPJCNu-Big/1080x-/20230121/eae875f16ef7fb11f1cfe78c09154613.jpg
105,"Toyota Highlander 3 поколение Кроссовер , 2015",33000$ ,2015,1 км,"Кроссовер,
                                        черный,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/LkUlDFEzDjHcGgNbL94jxQ/1080x-/20230121/8e76691a7e179404fa59ae33398a26f6.jpg
106,"Lexus LX 3 поколение Внедорожник , 2008",36800$ ,2008,1 км,"Внедорожник / Пикап,
                                        черный,
                                        5.7 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/9neWI-bPXmn0LPdNEg_AFA/1080x-/20230121/0c4ca7ef77cfd60aceaea302fb480964.jpg
107,"BMW X5 E53 Кроссовер , 2000",7777$ ,2000,167000 км,"Кроссовер,
                                        серебряный,
                                        4.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/rn0_Rl65X2Glr5rJszi8tw/1080x-/20230121/c353f796a7502676774cb1965fa62898.jpg
108,"Hyundai Solaris 1 поколение Седан , 2004",8500$ ,2004,170000 км,"Седан,
                                        белый,
                                        1.4 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,",https://i.cars.kg/preview/r/pwbPFAXjY1NT47SEYGZmHw/1080x-/20230121/8a0e11d1936e1e619fb444113c1fac4f.jpg
109,"Toyota Avalon XX40 Hybrid седан 4-дв. , 2019",41000$ ,2019,70000 км,"Седан,
                                        белый,
                                        2.5 л.,
                                        левый руль,
                                        гибрид,
                                        вариатор,
                                        передний,",https://i.cars.kg/preview/r/53Ql-KTfPeUq5vIr6tWHbA/1080x-/20230121/f924cd0225f32f65c51e4990966d2193.jpg
110,"Toyota Windom MCV20 [рестайлинг] Седан , 2001",9500$ ,2001,340000 км,"Седан,
                                        белый жемчуг,
                                        2.5 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/OLScaoDib9NpadgdD39wmA/1080x-/20230121/5f9820193e15cb8de11791efda339c77.jpg
111,"Toyota Estima 3 поколение Минивэн 5-дв. , 2008",11500$ ,2008,357000 км,"Минивэн / Бус,
                                        серебряный,
                                        2.4 л.,
                                        правый руль,
                                        бензин,
                                        вариатор,
                                        передний,",https://i.cars.kg/preview/r/ovPWA6Tpuf0-T_mH5QPWYw/1080x-/20230121/ab4784d460c39bcc51e83b15044b140a.jpg
112,"Lexus ES 6 поколение [рестайлинг] Седан , 2016",32000$ ,2016,1 км,"Седан,
                                        черный,
                                        2.5 л.,
                                        левый руль,
                                        гибрид,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/8hrxSohJisa9edBIyILarQ/1080x-/20230121/718ba85eb4f25bff962134c5ffbbafd2.jpg
113,"Lexus GX 1 поколение Внедорожник , 2008",32000$ ,2008,122000 км,"Внедорожник / Пикап,
                                        серебряный,
                                        4.7 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/1fze_YO3dvIe75R-WIeTzA/1080x-/20230121/f730ba49f8670b6e2c6028f98072967b.jpg
114,"Volkswagen Passat B3 Седан , 1990",2147$ ,1990,234567 км,"Седан,
                                        белый,
                                        1.8 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,",https://i.cars.kg/preview/r/_-LGsFH7yCpJwNz6qM-fYg/1080x-/20230121/d135199c0f9103d7d5292130dc26100d.jpg
115,"Lexus LX 2 поколение Внедорожник , 2006",27000$ ,2006,250000 км,"Внедорожник / Пикап,
                                        черный,
                                        4.7 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/FgJ6_IgfWO-qURRcdhfzOg/1080x-/20230121/03e44493e45c170e88f2ccf9f20d0596.jpg
116,"Volkswagen Passat , 1994",2553$ ,1994,,"Универсал,
                                        белый,
                                                    левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/yEKTfTHM_Seuo-GjGFdZ-w/1080x-/20230121/b2bfb133291b1b8798f3215c5dbfb542.jpg
117,"Toyota Camry XV50 [рестайлинг] Седан , 2022",36000$ ,2022,3800 км,"Седан,
                                        белый,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/2HlCorr9prXJE0GLQtvo3Q/1080x-/20230121/6920f14284a0a274b5f32aa9b3bc2905.jpg
118,"Toyota Land Cruiser J200 Внедорожник , 2011",43000$ ,2011,1 км,"Внедорожник / Пикап,
                                        черный,
                                        4.5 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/YHk08KDgK5NCpU80_Wrwwg/1080x-/20230121/50286cb855c1f277bd56ce8e18c7ddf8.jpg
119,"Toyota Camry XV50 [рестайлинг] Седан , 2019",24000$ ,2019,110000 км,"Седан,
                                        темно-синий,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/NTjL2n2sXY5OJgpO12PWdQ/1080x-/20230121/8ad57b0d967a387c1a4a01f6d0fd831e.jpg
120,"Lexus NX 1 поколение Кроссовер 5-дв. , 2018",31900$ ,2018,40000 км,"Кроссовер,
                                        серебряный,
                                        2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/2XIQWVXdQfTHR3Bu0g51Sw/1080x-/20230121/37fed69a6bf87e07268839f37b36843b.jpg
121,"Toyota RAV4 4 поколение [рестайлинг] Кроссовер , 2017",21300$ ,2017,110000 км,"Кроссовер,
                                        бордовый,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/PvOoEYlEtV9ZM3ptHhkMEw/1080x-/20230121/8da96b4216821de7de23f3672d500b5b.jpg
122,"Lexus RX 4 поколение Кроссовер , 2017",45000$ ,2017,45000 км,"Кроссовер,
                                        черный,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/29qIVEj3GsM96_kwKOLBfA/1080x-/20230121/05d791319e89375da2de9823b58306fc.jpg
123,"Honda Accord 5 поколение Седан , 1993",2031$ ,1993,,"Седан,
                                        синий,
                                        2 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,",https://i.cars.kg/preview/r/8gLmsbrHosA3kdawrVmlSQ/1080x-/20230121/0d148f97c73d1ed307dded67caff69a3.jpg
124,"Kia Sorento 3 поколение Prime кроссовер , 2016",25300$ ,2016,159000 км,"Кроссовер,
                                        черный,
                                        2. л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/Zt-kxNzBOf77M5rK5yVcqg/1080x-/20230120/13f2927a03582261b6502b28ad1b7f8b.jpg
125,"Mercedes-Benz E-Класс W124 Универсал , 1989",2321$ ,1989,10 км,"Универсал,
                                        черный,
                                        2.3 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        задний,",https://i.cars.kg/preview/r/uh-_LZeSB3oZlX2CiVbQuQ/1080x-/20230120/c6ede96d6be1d8aa7e659598a5f38c23.jpg
126,"Nissan Serena C23 Минивэн , 2000",5223$ ,2000,300000 км,"Минивэн / Бус,
                                        серебряный,
                                        2 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/0Vglnk1l7_IbAhoYw2AzhQ/1080x-/20230120/25206d093be7f2b80c74983332e07d11.jpg
127,"Mercedes-Benz E-Класс W211/S211 , 2004",10500$ ,2004,133000 км,"Седан,
                                        серый,
                                        3.2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/hAdELLZfsUao7XPHOnsVeA/1080x-/20230120/521be410e511db10929a7046617a148e.jpg
128,"Toyota Camry , 2018",28000$ ,2018,177500 км,"Седан,
                                        серебряный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/VVYgkyeEDleaRVH1K_kOAQ/1080x-/20230120/fe81575934d5d4bfe2aca7aa98b680f6.jpg
129,"Volkswagen ID 4 PRO, 2022",34444$ ,2022,21000 км,"Кроссовер,
                                        серый,
                                                    левый руль,
                                        электро,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/pRGCXwzw7khGQBXC0o9WdQ/1080x-/20230120/7960cb2a02d263f4b71b25740ff97247.jpg
130,"Toyota Camry , 2003",12500$ ,2003,255 км,"3 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/ewH5m8DEEa2im0i1Lr9nvQ/1080x-/20230120/99aebc23bd9b7eafb085571f879ee97e.jpg
131,"Honda Inspire 3 поколение Седан , 2002",5800$ ,2002,1 км,"Седан,
                                        серебряный,
                                        3.2 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/AMJFg_NKRkYLEa0dkEQsfw/1080x-/20230120/b469f3f48510f4285adb5d8d065b4445.jpg
132,"Subaru Outback 5 поколение Универсал , 2015",16900$ ,2015,164000 км,"Универсал,
                                        синий,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        вариатор,
                                        постоянный полный,",https://i.cars.kg/preview/r/vDUWhT53ysFiYyVYljPNag/1080x-/20230120/52f86cc41e86fc9735a98342c41fb75a.jpg
133,"Subaru Legacy 3 поколение Седан , 2002",5600$ ,2002,68000 км,"Седан,
                                        белый,
                                        2 л.,
                                        правый руль,
                                        бензин,
                                        механика,
                                        постоянный полный,",https://i.cars.kg/preview/r/swU3k81-EeM5ysq8f2adCg/1080x-/20230120/26df9fca63513870a2c454ee0b969ee0.jpg
134,"Honda CR-V 2 поколение [рестайлинг] Кроссовер , 2005",11900$ ,2005,1 км,"Кроссовер,
                                        серый,
                                        2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/FJbwistWeSD5uatWTDpfoQ/1080x-/20230120/ecd5caedec7aa8deaf8916ef7f9820b2.jpg
135,"Lexus RX 2 поколение [рестайлинг] , 2006",15500$ ,2006,225000 км,"Кроссовер,
                                        серебряный,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        полный подключаемый,",https://i.cars.kg/preview/r/D9w43RUF-uXH-EeIq6_unQ/1080x-/20230120/9f0b58615f9869f6c5d6ea333be23ffe.jpg
136,"Toyota , 2003",5800$ ,2003,340000 км,"Хэтчбек,
                                                    1.3 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/Z0gkZEuEev4Re6758qqlxg/1080x-/20230120/faf4dc4261826d8056ac41058980e1c9.jpg
137,"Toyota Land Cruiser J200 Внедорожник , 2008",32009$ ,2008,,"Внедорожник / Пикап,
                                        черный,
                                        4.7 л.,
                                                    бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/kZkTRCJMPz6zlUYhkD7rUw/1080x-/20230120/2a2d8ac088c5cc5b56af6bff02462352.jpg
138,"Mercedes-Benz , 2001",10700$ ,2001,,"Седан,
                                        мокрый асфальт,
                                        4.3 л.,
                                                                            задний,",https://i.cars.kg/preview/r/w47HBts3P-9YPMFlS-Cp-g/1080x-/20230120/11a8d92442d92f8db1829abbe210f4c7.jpg
139,"Daewoo Nexia 1 поколение [рестайлинг] Седан , 2008",140$ ,2008,,"Седан,
                                                    1.5 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,",https://i.cars.kg/preview/r/WqStjlMXRZfSoSyErHZeoQ/1080x-/20230119/2bd9563cb11e984a3b6fee5baacb5084.jpg
140,"Land Rover Range Rover Sport , 2009",19900$ ,2009,160000 км,"5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/9Fj3jDVMEQxGDO1MatPV7A/1080x-/20230119/2a832be44d8304ee692b63ba3e2977ce.jpg
141,"Chevrolet Volt 1 поколение Седан , 2016",18200$ ,2016,192 км,"Седан,
                                        белый,
                                        1.5 л.,
                                        левый руль,
                                        гибрид,
                                        вариатор,
                                        передний,",https://i.cars.kg/preview/r/d5HFQ8OVvFpXQTGkl_8Ajw/1080x-/20230119/59a79ab54262fa5ac3922b1d6a117c69.jpg
142,"Subaru Outback , 2018",25000$ ,2018,,"2.5 л.,
                                        левый руль,
                                        бензин,
                                        вариатор,
                                        полный подключаемый,",https://i.cars.kg/preview/r/70neWn599Bx_LPYeGn1vFQ/1080x-/20230119/f62c69ab1e62683297208f829a402c27.jpg
143,"Toyota Camry , 2016",18700$ ,2016,,"2.5 л.,
                                        левый руль,
                                        гибрид,
                                        вариатор,
                                        передний,",https://i.cars.kg/preview/r/A7B2kM6fJBNkvajMPqJ39A/1080x-/20230119/ae088ea61e58fd67e966a1993b4ea9e9.jpg
144,"Mercedes-Benz Sprinter 313, 2001",12000$ ,2001,291000 км,"Минивэн / Бус,
                                        белый жемчуг,
                                        2.2 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/86Nx5RIgaB7aiAMlM2uf_A/1080x-/20230119/8a4240856f7c64be985047367359256f.jpg
145,"Kia Sportage 4 поколение Кроссовер , 2022",42500$ ,2022,30 км,"Кроссовер,
                                        серебряный,
                                        1.6 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/ZEpckakRX8JSKTdURJXq7w/1080x-/20230119/42d826bf35961299ee4702e10e749fa9.jpg
146,"Mercedes-Benz T1 , 1991",4991$ ,1991,,"белый,
                                        3 куб л.,
                                        левый руль,
                                        дизель,
                                        механика,
                                        задний,",https://i.cars.kg/preview/r/ArosxFR9Mmtem4_bJfXywA/1080x-/20230119/f50445b73b6b355045944989a2137649.jpg
147,"Hyundai Tucson , 2022",36500$ ,2022,30 км,"2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/5-R2e2G6Fhe-J5X-ugfRnA/1080x-/20230119/145136f0b218478344991d4f0e3c7b6c.jpg
148,"Chevrolet Captiva 1 поколение [2-й рестайлинг] Кроссовер , 2022",29000$ ,2022,30 км,"Кроссовер,
                                        черный,
                                        1.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/z09lN1g2VF2J39JS7BFnVg/1080x-/20230119/4dfe534b6b355efd3f0f549bd1944964.jpg
149,"Toyota Corolla E120 Хетчбэк 5-дв. , 2005",6800$ ,2005,270000 км,"Хэтчбек,
                                        мокрый асфальт,
                                        1.4 л.,
                                        левый руль,
                                        дизель,
                                        типтроник,
                                        передний,",https://i.cars.kg/preview/r/GGpv7UXhlAd3tD8vVkzd-g/1080x-/20230119/48e64413e3ecbe8e0aabbfe8f56c780d.jpg
150,"Land Rover Range Rover 3 поколение Внедорожник , 2005",15500$ ,2005,300000 км,"Внедорожник / Пикап,
                                        черный,
                                        4.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/IJuKUzOoFPUlQDHusTSxHQ/1080x-/20230119/014b05c325650e46cf8a1cd40f59523a.jpeg
151,"Mercedes-Benz S-Класс , 2003",13500$ ,2003,,"3.7 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/996s3ZRVemX6OZX7mjtwuw/1080x-/20230119/5ae086a70f276e1337093febb491d0aa.jpg
152,"Mercedes-Benz S-Класс W220 [рестайлинг] Седан , 2003",10900$ ,2003,1 км,"Седан,
                                        белый,
                                        5 л.,
                                        левый руль,
                                        газ-бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/U6tqjaEe13n3Rc0uZsU8ww/1080x-/20230119/cc6a17a247e162948dcb5d836f5f89f4.jpg
153,"Kia Sorento 3 поколение , 2016",24900$ ,2016,85000 км,"Кроссовер,
                                        белый жемчуг,
                                        2.0 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/jr0fRojsDvCqIPB_xsIU7g/1080x-/20230119/404dc6a52066d94697e706418ea89b1c.jpg
154,"Toyota Camry , 2018",22900$ ,2018,98000 км,"Седан,
                                        белый,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/6ppP_5CcchWYAz1Z8F1cbw/1080x-/20230118/d813c7d7f0dff3290b81412731cb5b76.jpg
155,"Volkswagen Golf 5 поколение Хетчбэк 5-дв. , 2003",4800$ ,2003,190000 км,"Хэтчбек,
                                        серый,
                                        2 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/jqclIeIk1hemX_RNgxaLBQ/1080x-/20230118/61ac5a3a4d180a275022cdc9380fb7fd.JPG
156,"Toyota Land Cruiser J200 [2-й рестайлинг] Внедорожник , 2021",135000$ ,2021,1 км,"Внедорожник / Пикап,
                                        черный,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/Qoeh3E1owrmwg4JWtajJfw/1080x-/20230118/fe5314d37f2e53808ae5c28c1572e506.jpg
157,"Toyota Land Cruiser Prado , 2004",15700$ ,2004,277000 км,"3 л.,
                                        левый руль,
                                        дизель,
                                        механика,
                                        постоянный полный,",https://i.cars.kg/preview/r/iSdDsApne5h8N07_3FyUBA/1080x-/20230118/c7f3269c3ce1e536817414d2558ef714.jpg
158,"Hyundai Sonata YF Седан 4-дв. , 2016",14700$ ,2016,600000 км,"Седан,
                                        серебряный,
                                        2.0 л.,
                                        левый руль,
                                        газ,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/A9rGVMdIG5XdhB0ck_GRNw/1080x-/20230118/97b18d81122be274be2d5e45e27bd996.jpg
159,"Toyota Crown , 2010",15000$ ,2010,,"3.5 л.,
                                        правый руль,
                                        гибрид,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/c4JHr0RV_YL1drWSTHEMFg/1080x-/20230118/21e09dfdd59bcdbd708528ea7dcf2597.jpg
160,"Lexus IS , 2005",8300$ ,2005,261800 км,"2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/kWjBOgsxmIui_L0lALKneQ/1080x-/20230118/64b11031aaa6a7b3e84584cb92c77593.jpg
161,"Mercedes-Benz S-Класс W140/C140 [рестайлинг] Седан , 1995",6000$ ,1995,1 км,"Седан,
                                        черный,
                                        4.2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/QzA0Js9wspjVJ64rktyfog/1080x-/20230118/8ed816691c4c518e7eff7d52e856366f.jpg
162,"Toyota 4Runner 5 поколение Внедорожник , 2017",65000$ ,2017,108000 км,"Внедорожник / Пикап,
                                        белый,
                                        4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/B_uJSMBtZrrPAkYGqfQCFA/1080x-/20230118/c4681eca4d26be200d0e2c60bde308b6.jpg
163,"Land Rover Range Rover Sport 1 поколение [рестайлинг] Внедорожник , 2009",20000$ ,2009,220000 км,"Внедорожник / Пикап,
                                        белый,
                                        3 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/BKHu_8XmkfWTWtx0wDSBbA/1080x-/20230118/913b8addd2c16fde97128cc626a740f6.jpg
164,"Kia Carnival , 2016",22500$ ,2016,235000 км,"Минивэн / Бус,
                                        серебряный,
                                        2.2 л.,
                                        левый руль,
                                                    автомат,
                                        передний,",https://i.cars.kg/preview/r/iW1jGyT5x-XaUfUbyccgog/1080x-/20230118/beda89d16f34f0aede34d429e06ac1cb.jpg
165,"Audi A4 B6 Седан , 2004",4410$ ,2004,1 км,"Седан,
                                        серебряный,
                                        2.5 л.,
                                        левый руль,
                                        дизель,
                                        вариатор,
                                        передний,",https://i.cars.kg/preview/r/hGzGx17F8ctFfzNjF_OxtA/1080x-/20230118/36921901e7f980887ba977248a6a8182.jpg
166,"Mercedes-Benz Sprinter W906 Фургон , 2011",16500$ ,2011,350000 км,"2.2 л.,
                                        левый руль,
                                        дизель,
                                        механика,
                                        задний,",https://i.cars.kg/preview/r/Rr8rOJiRlqnS--CbCrIO7w/1080x-/20230118/97b756f68064444f2c87d3767bc5b66d.jpg
167,"Subaru Outback 4 поколение Универсал , 2010",10000$ ,2010,225000 км,"Универсал,
                                        серебряный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        вариатор,
                                        постоянный полный,",https://i.cars.kg/preview/r/ofGwv_AI6MART1JfJUnfGw/1080x-/20230118/4f978d34e6b6baa2eddebe658d0333ca.png
